comp_type,comp_type_name,comp_dalei
0160,私营合伙企业,33
0210,有限责任公司分支机构,22
0220,股份有限公司分支机构,22
0230,非公司分支机构,22
0240,有限责任公司办事机构,26
0310,有限责任公司分支机构,22
0320,股份有限公司分支机构,22
0330,非公司分支机构,22
0340,有限责任公司办事机构,26
0540,私营独资企业,31
1000,内资公司,11
1100,有限责任公司,11
1110,有限责任公司(国有独资),11
1120,有限责任公司(外商投资企业投资),11
1121,有限责任公司(外商投资企业合资),11
1122,有限责任公司(外商投资企业与内资合资),11
1123,有限责任公司(外商投资企业法人独资),11
1124,其他有限责任公司(外商投资企业与内资合资),11
1130,有限责任公司（自然人投资或控股）,11
1140,有限责任公司(国有控股),11
1150,一人有限责任公司,11
1151,有限责任公司(自然人独资),11
1152,有限责任公司（自然人投资或控股的法人独资）,11
1153,有限责任公司（非自然人投资或控股的法人独资）,11
1154,一人有限责任公司(外商投资企业法人独资),11
1190,其他有限责任公司,11
1200,股份有限公司,11
1210,股份有限公司(上市),11
1211,股份有限公司(上市、外商投资企业投资),11
1212,股份有限公司(上市、自然人投资或控股),11
1213,股份有限公司(上市、国有控股),11
1219,其他股份有限公司(上市),11
1220,股份有限公司(非上市),11
1221,股份有限公司(非上市、外商投资企业投资),11
1222,股份有限公司(非上市、自然人投资或控股),11
1223,股份有限公司(非上市、国有控股),11
1229,其他股份有限公司(非上市),11
2000,内资分公司,12
2100,有限责任公司分公司,12
2110,有限责任公司分公司(国有独资),12
2120,有限责任公司分公司(外商投资企业投资),12
2121,有限责任公司分公司(外商投资企业合资),12
2122,有限责任公司分公司(外商投资企业与内资合资),12
2123,有限责任公司分公司(外商投资企业法人独资),12
2124,其他有限责任公司分公司(外商投资企业与内资合资),12
2130,有限责任公司分公司(自然人投资或控股),12
2140,有限责任公司分公司(国有控股),12
2150,一人有限责任公司分公司,12
2151,有限责任公司分公司(自然人独资),12
2152,有限责任公司分公司（自然人投资或控股的法人独资）,12
2153,有限责任公司分公司（非自然人投资或控股的法人独资）,12
2190,其他有限责任公司分公司,12
2200,股份有限公司分公司,12
2210,股份有限公司分公司(上市),12
2211,股份有限公司分公司(上市、外商投资企业投资),12
