opt_unnor_markid,mark_dt,is_recov,recov_dt,pripid,uni_social_crd_cd,comp_nm
,,,,,92330206MA2EL62660,宁波市北仑区新碶万祥珠宝行
,,,,,92330206MA7FX69W9Y,宁波梅山保税港区金湛张景茹商务服务部
,,,,,92330206MACTXDYM7N,宁波市北仑区阿彪烧烤店
,,,,,92330206MA2KNWW64Q,宁波梅山保税港区海根崔浩杰商务服务部
,,,,,92330206MA7C1XY7X4,宁波梅山保税港区海根周阳晨商务服务部
,,,,,92330206MA7C3HQP3T,宁波梅山保税港区尽良筹王杠商务服务部
,,,,,92330206MA7F9LEA07,宁波梅山保税港区金湛史庆逸商务服务部
,,,,,9133020661026074XL,宁波花港高速客轮有限公司
,,,,,92330206MA7FA1668W,宁波梅山保税港区金湛佳伟商务服务部
,,,,,9133020607921748XK,宁波亚居拉贸易有限公司
,,,,,92330206MA2EKW8278,宁波市北仑区新矸金帆文百商店
,,,,,91330206MA2GT3XNX2,妙乐（宁波）文化创意有限公司
,,,,,92330206MA7JRX6D9D,宁波北仑小零广告策划部
,,,,,92330206MA2AHNYG2Y,宁波市北仑区灵灵舞蹈工作室
,,,,,92330206MA2J65K60L,宁波梅山保税港区金湛刘斐菲商务服务部
,,,,,92330206MACU3HY569,宁波北仑宏祺设计工作室
,,,,,92330206MA2KQHEG7W,宁波市北仑区方祝足浴店
,,,,,92330206MA7DYXCH2P,宁波梅山保税港区尽良筹郭从力商务服务部
,,,,,92330206MA7C3HP960,宁波梅山保税港区海根张涛多商务服务部
,,,,,92330206MA7BJN2GXW,宁波梅山保税港区海根朱亚洲高商务服务部
,,,,,92330206MA2H6DEL5D,宁波市北仑区众甫文化创意工作室
,,,,,92330206MA2AFJR642,宁波市北仑区小港康春餐馆
,,,,,92330206MACRTUTH77,宁波梅山保税港区海根王某萍海商务服务部
,,,,,91330206MA2CMHXQ0E,宁波市北仑区奇奕棋类培训有限公司
,,,,,92330206MA7CJ3XN0U,宁波梅山保税港区海根孙正权商务服务部
,,,,,92330206MA2903XX7N,宁波市北仑区大碶旭升字牌厂
,,,,,92330206MA2EL40174,宁波市北仑区新碶威舜图文设计服务部
,,,,,91330206567007705F,宁波北仑锦秀恒源文化传播有限公司
,,,,,92330206MA2GRR495G,宁波市北仑区柴桥茂定足浴店
,,,,,92330206MA2J6JJC16,宁波梅山保税港区金湛朱长云商务服务部
,,,,,92330206MA7BBXL119,宁波梅山保税港区海根孔某坡商务服务部
,,,,,91330206MA2J48WJ0D,宁波意冠餐饮管理有限公司
,,,,,92330206MA2AHWN571,宁波市北仑区龙君产品设计工作室
,,,,,92330206MA2KP1059W,宁波梅山保税港区海根谭伟法商务服务部
,,,,,91330206MACYH2796M,宁波不凡创意设计有限公司
,,,,,92330206MA7DKA5T7A,宁波梅山保税港区金湛张哲商务服务部
,,,,,92330206MA2EKKKK8A,宁波经济技术开发区吴佩琴毛线店
,,,,,92330206MA2J62J90C,宁波梅山保税港区海根时小珍商务服务部
,,,,,92330206MA2J75800P,宁波梅山保税港区金湛章飞翠商务服务部
,,,,,92330206MA2KNLD989,宁波梅山保税港区海根汪斌商务服务部
,,,,,92330206MA7EFP8L5G,宁波梅山保税港区金湛陈珊一商务服务部
,,,,,92330206MA7E0E0A2A,宁波梅山保税港区海根赵闪闪商务服务部
,,,,,91330201MA2J70W505,宁波大榭开发区益科餐饮管理有限公司
,,,,,92330206MA7FN87G66,宁波梅山保税港区金湛叶芳芳二商务服务部
,,,,,92330206MA7EWWUPXJ,宁波梅山保税港区金湛申一佳商务服务部
,,,,,92330206MA2J6WE31E,宁波梅山保税港区金湛丁行飞商务服务部
,,,,,92330206MA7FPYND5U,宁波梅山保税港区金湛王欣一商务服务部
,,,,,92330206MA2J6QAF8W,宁波梅山保税港区金湛施玮弟商务服务部
,,,,,92330206MA2J7T9H1R,宁波梅山保税港区金湛王孝强商务服务部
,,,,,91330206MA2AG44L52,宁波慧灵文化传播有限公司
,,,,,92330206MA2KNUED10,宁波梅山保税港区海根牛东驰通商务服务部
,,,,,92330206MACP6DCM6K,宁波梅山保税港区海根赵兵商务服务部
,,,,,92330206MA2EKNN95D,宁波市北仑区柴桥好日子家纺店
,,,,,92330206MA2J418G4G,宁波梅山保税港区尽良筹李华商务服务部
,,,,,92330206MA2GUJXR1F,宁波市北仑区抬头文化创意工作室
,,,,,92330206MA7EXL7D0T,宁波北仑韦程文化创意工作室
,,,,,92330206MA2KN0EH24,宁波北仑逆形健身俱乐部
,,,,,91330201MABRW6YN7F,宁波娱吖传媒有限公司
,,,,,91330206MA2GRBQAXB,上海星巴克咖啡经营有限公司宁波北仑中河南路店
,,,,,92330206MA2KNQ961N,宁波梅山保税港区海根林城杰商务服务部
,,,,,91330206MA282UG88P,宁波瑞哲餐饮管理服务有限公司
,,,,,92330206MA284DF94X,宁波市北仑区小港王艺广告设计服务部
,,,,,92330206MA2J72J7XU,宁波市北仑区张艳足浴店
,,,,,92330206MA2CL09J9W,宁波市北仑区新碶天来机电设备安装服务部
,,,,,92330206MA7CB98W8Q,宁波梅山保税港区尽良筹陈洁商务服务部
