annual_id,annual_year,asset_zmt,debt_amt,owner_equity_toatal,opt_income_total,profit_total,net_profit,tax_total,pripid,uni_social_crd_cd,comp_nm
8e5512a7637e422ebfda45f08938b3b5,2020,121000,34922,86078,24120,22485,16269,225,330206MA2EL62660,92330206MA2EL62660,宁波市北仑区新碶万祥珠宝行
a1e94f50c9eb42f59196579e52adf33a,2021,72000,12891,59109,5208,4347,3015,43,330206MA2EL62660,92330206MA2EL62660,宁波市北仑区新碶万祥珠宝行
fd4c1c345ed54bd58ee0e5bea7e5e9a7,2022,92000,28432,63568,21117,19086,14721,191,330206MA2EL62660,92330206MA2EL62660,宁波市北仑区新碶万祥珠宝行
f003eceb3ac6431bb655086b4ae17ef5,2023,88000,31917,56083,35605,33570,29496,336,330206MA2EL62660,92330206MA2EL62660,宁波市北仑区新碶万祥珠宝行
504ec99e4ad341dbbdbe296e15ac7e97,2020,129000,28901,100099,6858,24365,14430,244,330206MA7FX69W9Y,92330206MA7FX69W9Y,宁波梅山保税港区金湛张景茹商务服务部
0178bf3117414bebb10c8668b47896ed,2021,124000,19912,104088,6593,5519,3723,55,330206MA7FX69W9Y,92330206MA7FX69W9Y,宁波梅山保税港区金湛张景茹商务服务部
3f6192138e474951baecd67706187355,2022,141000,14949,126051,58633,51657,33120,517,330206MA7FX69W9Y,92330206MA7FX69W9Y,宁波梅山保税港区金湛张景茹商务服务部
6b92108f5c354f0d8fe85093e89ef2fe,2023,77000,21990,55010,19518,18272,16332,183,330206MA7FX69W9Y,92330206MA7FX69W9Y,宁波梅山保税港区金湛张景茹商务服务部
04c4a31f4e054a718bcfd86e712e000f,2020,1728228,481314,1246914,10551,9545,7545,95,330206MACTXDYM7N,92330206MACTXDYM7N,宁波市北仑区阿彪烧烤店
2b6cdc7d44c340cf95f8b2ff1ee17d70,2021,865553,293692,571861,180478,159389,95577,1594,330206MACTXDYM7N,92330206MACTXDYM7N,宁波市北仑区阿彪烧烤店
bbac5e4737744a22bf7188052ddce925,2022,1281003,643727,637276,9372,8200,6384,82,330206MACTXDYM7N,92330206MACTXDYM7N,宁波市北仑区阿彪烧烤店
cbad7db8f131472f9462716157283961,2023,1911781,632128,1279653,13103,11008,6948,110,330206MACTXDYM7N,92330206MACTXDYM7N,宁波市北仑区阿彪烧烤店
a07e74ccb0a74f7496e43f265e15467e,2020,72000,27221,44779,10684,9654,5664,97,330206MA2KNWW64Q,92330206MA2KNWW64Q,宁波梅山保税港区海根崔浩杰商务服务部
7c414afaaa854c27a30063f14c52571c,2021,86000,10840,75160,-24308,-12511,-15465,0,330206MA2KNWW64Q,92330206MA2KNWW64Q,宁波梅山保税港区海根崔浩杰商务服务部
98b62787a630444eaa58eee8b82f591a,2022,122000,41742,80258,-29887,-6960,-9354,0,330206MA2KNWW64Q,92330206MA2KNWW64Q,宁波梅山保税港区海根崔浩杰商务服务部
67611cb018a841e2849dcca5af9e453e,2023,114000,37475,76525,-1420,-395,-483,0,330206MA2KNWW64Q,92330206MA2KNWW64Q,宁波梅山保税港区海根崔浩杰商务服务部
824b85a7491d4b0f8cb986241e2bdac5,2020,88000,21833,66167,-9025,1550,444,16,330206MA7C1XY7X4,92330206MA7C1XY7X4,宁波梅山保税港区海根周阳晨商务服务部
2e21d81dd3d4418c8b74714ce0a8a8e8,2021,117000,24184,92816,19053,17461,9822,175,330206MA7C1XY7X4,92330206MA7C1XY7X4,宁波梅山保税港区海根周阳晨商务服务部
