msxssr,unit_opt_loc,whsyjsf,tax_amt,sale_inco,comp_nm,tax_reg_no,org_no,uni_social_crd_cd,count_dt
,,,,,宁波市北仑区新碶万祥珠宝行,,MA2EL626-6,92330206MA2EL62660,
,,,,,宁波梅山保税港区金湛张景茹商务服务部,,MA7FX69W-9,92330206MA7FX69W9Y,
,,,,,宁波市北仑区阿彪烧烤店,,MACTXDYM-7,92330206MACTXDYM7N,
,,,,,宁波梅山保税港区海根崔浩杰商务服务部,,MA2KNWW6-4,92330206MA2KNWW64Q,
,,,,,宁波梅山保税港区海根周阳晨商务服务部,,MA7C1XY7-X,92330206MA7C1XY7X4,
,,,,,宁波梅山保税港区尽良筹王杠商务服务部,,MA7C3HQP-3,92330206MA7C3HQP3T,
,,,,,宁波梅山保税港区金湛史庆逸商务服务部,,MA7F9LEA-0,92330206MA7F9LEA07,
,,,,,宁波花港高速客轮有限公司,,61026074-X,9133020661026074XL,
,,,,,宁波梅山保税港区金湛佳伟商务服务部,,MA7FA166-8,92330206MA7FA1668W,
,,,,,宁波亚居拉贸易有限公司,,07921748-X,9133020607921748XK,
,,,,,宁波市北仑区新矸金帆文百商店,,MA2EKW82-7,92330206MA2EKW8278,
,,,,,妙乐（宁波）文化创意有限公司,,MA2GT3XN-X,91330206MA2GT3XNX2,
,,,,,宁波北仑小零广告策划部,,MA7JRX6D-9,92330206MA7JRX6D9D,
,,,,,宁波市北仑区灵灵舞蹈工作室,,MA2AHNYG-2,92330206MA2AHNYG2Y,
,,,,,宁波梅山保税港区金湛刘斐菲商务服务部,,MA2J65K6-0,92330206MA2J65K60L,
,,,,,宁波北仑宏祺设计工作室,,MACU3HY5-6,92330206MACU3HY569,
,,,,,宁波市北仑区方祝足浴店,,MA2KQHEG-7,92330206MA2KQHEG7W,
,,,,,宁波梅山保税港区尽良筹郭从力商务服务部,,MA7DYXCH-2,92330206MA7DYXCH2P,
,,,,,宁波梅山保税港区海根张涛多商务服务部,,MA7C3HP9-6,92330206MA7C3HP960,
,,,,,宁波梅山保税港区海根朱亚洲高商务服务部,,MA7BJN2G-X,92330206MA7BJN2GXW,
,,,,,宁波市北仑区众甫文化创意工作室,,MA2H6DEL-5,92330206MA2H6DEL5D,
,,,,,宁波市北仑区小港康春餐馆,,MA2AFJR6-4,92330206MA2AFJR642,
,,,,,宁波梅山保税港区海根王某萍海商务服务部,,MACRTUTH-7,92330206MACRTUTH77,
,,,,,宁波市北仑区奇奕棋类培训有限公司,,MA2CMHXQ-0,91330206MA2CMHXQ0E,
,,,,,宁波梅山保税港区海根孙正权商务服务部,,MA7CJ3XN-0,92330206MA7CJ3XN0U,
,,,,,宁波市北仑区大碶旭升字牌厂,,MA2903XX-7,92330206MA2903XX7N,
,,,,,宁波市北仑区新碶威舜图文设计服务部,,MA2EL401-7,92330206MA2EL40174,
,,,,,宁波北仑锦秀恒源文化传播有限公司,,56700770-5,91330206567007705F,
,,,,,宁波市北仑区柴桥茂定足浴店,,MA2GRR49-5,92330206MA2GRR495G,
,,,,,宁波梅山保税港区金湛朱长云商务服务部,,MA2J6JJC-1,92330206MA2J6JJC16,
,,,,,宁波梅山保税港区海根孔某坡商务服务部,,MA7BBXL1-1,92330206MA7BBXL119,
,,,,,宁波意冠餐饮管理有限公司,,MA2J48WJ-0,91330206MA2J48WJ0D,
,,,,,宁波市北仑区龙君产品设计工作室,,MA2AHWN5-7,92330206MA2AHWN571,
,,,,,宁波梅山保税港区海根谭伟法商务服务部,,MA2KP105-9,92330206MA2KP1059W,
,,,,,宁波不凡创意设计有限公司,,MACYH279-6,91330206MACYH2796M,
,,,,,宁波梅山保税港区金湛张哲商务服务部,,MA7DKA5T-7,92330206MA7DKA5T7A,
,,,,,宁波经济技术开发区吴佩琴毛线店,,MA2EKKKK-8,92330206MA2EKKKK8A,
,,,,,宁波梅山保税港区海根时小珍商务服务部,,MA2J62J9-0,92330206MA2J62J90C,
,,,,,宁波梅山保税港区金湛章飞翠商务服务部,,MA2J7580-0,92330206MA2J75800P,
,,,,,宁波梅山保税港区海根汪斌商务服务部,,MA2KNLD9-8,92330206MA2KNLD989,
,,,,,宁波梅山保税港区金湛陈珊一商务服务部,,MA7EFP8L-5,92330206MA7EFP8L5G,
,,,,,宁波梅山保税港区海根赵闪闪商务服务部,,MA7E0E0A-2,92330206MA7E0E0A2A,
,,,,,宁波大榭开发区益科餐饮管理有限公司,,MA2J70W5-0,91330201MA2J70W505,
,,,,,宁波梅山保税港区金湛叶芳芳二商务服务部,,MA7FN87G-6,92330206MA7FN87G66,
,,,,,宁波梅山保税港区金湛申一佳商务服务部,,MA7EWWUP-X,92330206MA7EWWUPXJ,
,,,,,宁波梅山保税港区金湛丁行飞商务服务部,,MA2J6WE3-1,92330206MA2J6WE31E,
,,,,,宁波梅山保税港区金湛王欣一商务服务部,,MA7FPYND-5,92330206MA7FPYND5U,
,,,,,宁波梅山保税港区金湛施玮弟商务服务部,,MA2J6QAF-8,92330206MA2J6QAF8W,
,,,,,宁波梅山保税港区金湛王孝强商务服务部,,MA2J7T9H-1,92330206MA2J7T9H1R,
,,,,,宁波慧灵文化传播有限公司,,MA2AG44L-5,91330206MA2AG44L52,
,,,,,宁波梅山保税港区海根牛东驰通商务服务部,,MA2KNUED-1,92330206MA2KNUED10,
,,,,,宁波梅山保税港区海根赵兵商务服务部,,MACP6DCM-6,92330206MACP6DCM6K,
,,,,,宁波市北仑区柴桥好日子家纺店,,MA2EKNN9-5,92330206MA2EKNN95D,
,,,,,宁波梅山保税港区尽良筹李华商务服务部,,MA2J418G-4,92330206MA2J418G4G,
,,,,,宁波市北仑区抬头文化创意工作室,,MA2GUJXR-1,92330206MA2GUJXR1F,
,,,,,宁波北仑韦程文化创意工作室,,MA7EXL7D-0,92330206MA7EXL7D0T,
,,,,,宁波北仑逆形健身俱乐部,,MA2KN0EH-2,92330206MA2KN0EH24,
,,,,,宁波娱吖传媒有限公司,,MABRW6YN-7,91330201MABRW6YN7F,
,,,,,上海星巴克咖啡经营有限公司宁波北仑中河南路店,,MA2GRBQA-X,91330206MA2GRBQAXB,
,,,,,宁波梅山保税港区海根林城杰商务服务部,,MA2KNQ96-1,92330206MA2KNQ961N,
,,,,,宁波瑞哲餐饮管理服务有限公司,,MA282UG8-8,91330206MA282UG88P,
,,,,,宁波市北仑区小港王艺广告设计服务部,,MA284DF9-4,92330206MA284DF94X,
,,,,,宁波市北仑区张艳足浴店,,MA2J72J7-X,92330206MA2J72J7XU,
,,,,,宁波市北仑区新碶天来机电设备安装服务部,,MA2CL09J-9,92330206MA2CL09J9W,
,,,,,宁波梅山保税港区尽良筹陈洁商务服务部,,MA7CB98W-8,92330206MA7CB98W8Q,
,,,,,宁波保税区维安卫生服务有限公司,,MA8FRUN4-3,91330201MA8FRUN437,
,,,,,宁波王氏迦南眼镜有限公司北仑分公司,,MA7LDB04-2,91330206MA7LDB042M,
,,,,,宁波梅山保税港区金湛黄可叶商务服务部,,MACLB29E-5,92330206MACLB29E5P,
,,,,,宁波守诺文化传媒有限公司,,30890342-5,91330206308903425X,
,,,,,宁波梅山保税港区海根江浩多商务服务部,,MA7BMXAK-7,92330206MA7BMXAK73,
,,,,,宁波梅山保税港区海根马金才高商务服务部,,MA2KNQU1-4,92330206MA2KNQU141,
,,,,,宁波市北仑昌旺机械设备租赁服务部,,MA7LDJYB-8,92330206MA7LDJYB89,
,,,,,宁波梅山保税港区海根王秀霞商务服务部,,MA7CTDK8-7,92330206MA7CTDK87G,
,,,,,宁波梅山保税港区金湛龚娜商务服务部,,MA7FM75H-3,92330206MA7FM75H3K,
,,,,,宁波梅山保税港区金湛常福娟商务服务部,,MA2J7WPR-3,92330206MA2J7WPR36,
,,,,,宁波梅山保税港区金湛黄承忠商务服务部,,MA2KP7YW-2,92330206MA2KP7YW2L,
,,,,,宁波梅山保税港区尽良筹章琳萍商务服务部,,MA2J402X-2,92330206MA2J402X2E,
,,,,,宁波市北仑区新碶蒲舍香水店,,MA292UM3-6,92330206MA292UM368,
,,,,,宁波梅山保税港区尽良筹曾晓玲商务服务部,,MA2J7JX0-8,92330206MA2J7JX08M,
,,,,,宁波梅山保税港区金湛黄湘湘商务服务部,,MA7EWMNY-1,92330206MA7EWMNY14,
,,,,,宁波梅山保税港区海根秦进德商务服务部,,MA2KNDUE-5,92330206MA2KNDUE52,
,,,,,宁波梅山保税港区金湛张名涛商务服务部,,MA2J6W02-4,92330206MA2J6W0247,
,,,,,宁波梅山保税港区海根李明亮高商务服务部,,MA7BQN1E-5,92330206MA7BQN1E59,
,,,,,宁波市北仑区小港松胜餐馆,,MA2EKTG3-8,92330206MA2EKTG38B,
,,,,,宁波梅山保税港区尽良筹国张商务服务部,,MA2KP31U-5,92330206MA2KP31U5B,
,,,,,宁波市北仑区芦江家电商店霞浦店,,MA8FUD7Q-1,91330206MA8FUD7Q13,
,,,,,宁波市北仑区大碶查尔斯顿眼镜店,,MA2EKRBJ-1,92330206MA2EKRBJ1H,
,,,,,宁波爱鸣电子商务有限公司,,34056520-0,91330206340565200A,
,,,,,宁波北仑竞誉桌球馆,,MABM4FLW-5,92330206MABM4FLW5Q,
,,,,,宁波市北仑区梅山惠鑫汽车租赁服务部,,MA293YDH-X,92330206MA293YDHXX,
,,,,,宁波启童文化传播有限公司,,MA2825TJ-2,91330201MA2825TJ21,
,,,,,宁波梅山保税港区金湛王雅众商务服务部,,MA7HCY5Q-8,92330206MA7HCY5Q80,
,,,,,宁波市北仑区启思艺术特长培训有限公司,,MA2GWACN-1,91330206MA2GWACN1W,
,,,,,宁波市北仑区金利电脑制印社,,MA2920Q0-5,92330206MA2920Q050,
