inclu_dt,inclu_reason,uni_social_crd_cd,reg_no,redecorg_cn,remexcpres_cn,remove_dt,decorg_cn,comp_nm
2022-06-28,公示企业信息隐瞒真实情况、弄虚作假。,92330206MA7LDJYB89,330206MA7LDJYB89,北仑区,更正公示信息,2023-11-17,北仑区,宁波市北仑昌旺机械设备租赁服务部
2007-08-21,通过登记的住所或者经营场所无法联系。,913302267723220696,3302267723220696,宁海县,办理地址变更或恢复联系,2008-04-14,宁海县,宁波市华正信息技术有限公司
2009-07-30,未按照规定的期限公示年度报告。,91330282MA2GFAFW1H,330282MA2GFAFW1H,慈溪市,补报年度报告,2010-02-07,慈溪市,龙海市华达运输有限公司慈溪分公司
2023-12-25,公示企业信息隐瞒真实情况、弄虚作假。,91330226MA2J3DB50T,330226MA2J3DB50T,宁海县,更正公示信息,,宁海县,宁海县满珍大酒店赵家分店
2023-09-29,公示企业信息隐瞒真实情况、弄虚作假。,91330211L36496426H,330211L36496426H,镇海区,更正公示信息,,镇海区,宁波市镇海区骆驼百兴家电商店
2022-09-22,通过登记的住所或者经营场所无法联系。,91330211MA2AHRLP4K,330211MA2AHRLP4K,镇海区,办理地址变更或恢复联系,2023-08-08,镇海区,宁波悦邦汽车贸易有限公司
2021-09-18,未按照规定的期限公示年度报告。,91330201MA2J70W505,330201MA2J70W505,北仑区,补报年度报告,2022-07-20,北仑区,宁波大榭开发区益科餐饮管理有限公司
2020-09-27,未按照规定的期限公示年度报告。,91330206MA2GRBQAXB,330206MA2GRBQAXB,北仑区,补报年度报告,2021-07-18,北仑区,上海星巴克咖啡经营有限公司宁波北仑中河南路店
2022-10-18,公示企业信息隐瞒真实情况、弄虚作假。,91330206MA7LDB042M,330206MA7LDB042M,北仑区,更正公示信息,2023-06-26,北仑区,宁波王氏迦南眼镜有限公司北仑分公司
2023-11-09,未在责令期限内公示有关企业信息。,913302835839511652,3302835839511652,奉化区,补公示企业信息,,奉化区,奉化市晶都汽车租赁有限公司
2021-12-14,公示企业信息隐瞒真实情况、弄虚作假。,91330283MA2KPJRH8J,330283MA2KPJRH8J,奉化区,更正公示信息,2022-08-03,奉化区,宁波以沫文化传媒有限公司第五分公司
2023-06-04,公示企业信息隐瞒真实情况、弄虚作假。,91310113MABMNEF14B,310113MABMNEF14B,奉化区,更正公示信息,,奉化区,上海生椰出马餐饮管理有限公司
2024-12-25,公示企业信息隐瞒真实情况、弄虚作假。,91330283MA281TCC7K,330283MA281TCC7K,奉化区,更正公示信息,,奉化区,宁波奉化富翔工艺品厂
2019-08-07,公示企业信息隐瞒真实情况、弄虚作假。,91330226MA2CMTP18D,330226MA2CMTP18D,宁海县,更正公示信息,2021-01-14,宁海县,浙江华严文化传播有限公司宁海营业部
