main_identi_id,reg_org,comp_type,reg_state,uni_social_crd_cd,comp_nm,addr,legal_repre,indv_id,reg_capt,capt_kind,opt_scop,reg_no,appr_dt,est_dt,opt_from,opt_to,domdi_strict,pro_loc,opt_strict,postal_code,opt_loc,indv_code,indv_nm
330206MA2EL62660,宁波市北仑区市场监督管理局,个体工商户,注销,92330206MA2EL62660,宁波市北仑区新碶万祥珠宝行,北仑区新碶街道中河路399号银泰城一层1059-2号商铺,朱益民,珠宝首饰零售,0.0,,珠宝、黄金饰品、礼品零售。,330206MA2EL62660,2016-06-20,2016-06-20,2016-06-20,2099-12-31,330206001,北仑区,330206001,315800,北仑区,5245.0,5245.0
330206MA7FX69W9Y,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA7FX69W9Y,宁波梅山保税港区金湛张景茹商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号5幢D302室-12693（集群注册）,张景茹,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA7FX69W9Y,2021-12-23,2021-12-23,2021-12-23,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MACTXDYM7N,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MACTXDYM7N,宁波市北仑区阿彪烧烤店,浙江省宁波市北仑区春晓街道明月路827号,马化腾,正餐服务,100000.0,人民币,许可项目：餐饮服务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）。,330206MACTXDYM7N,2023-08-25,2023-08-25,2023-08-25,2099-12-31,330206001,北仑区,330206001,315800,北仑区,6210.0,6210.0
330206MA2KNWW64Q,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA2KNWW64Q,宁波梅山保税港区海根崔浩杰商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号6幢C201室-107625（集群注册）,崔浩杰,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）;外卖递送服务（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA2KNWW64Q,2021-08-18,2021-08-18,2021-08-18,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MA7C1XY7X4,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA7C1XY7X4,宁波梅山保税港区海根周阳晨商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号6幢C201室-112565（集群注册）,周阳晨,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）;外卖递送服务（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA7C1XY7X4,2021-10-21,2021-10-21,2021-10-21,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MA7C3HQP3T,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA7C3HQP3T,宁波梅山保税港区尽良筹王杠商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号6幢C202室-3865（集群注册）,王杠,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA7C3HQP3T,2021-10-14,2021-10-14,2021-10-14,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MA7F9LEA07,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA7F9LEA07,宁波梅山保税港区金湛史庆逸商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号5幢D302室-11504（集群注册）,史庆逸,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA7F9LEA07,2021-12-27,2021-12-27,2021-12-27,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
33020661026074XL,宁波市北仑区市场监督管理局,有限责任公司（自然人投资或控股）,吊销,9133020661026074XL,宁波花港高速客轮有限公司,浙江省,王明理,海上旅客运输,32758140.0,人民币,宁波大榭至舟山普陀山航线旅客运输、货物运输（有效期至2015年1月14日）。,33020661026074XL,1985-03-30,1985-03-30,1985-03-30,2099-12-31,330206001,北仑区,330206001,315800,北仑区,5511.0,5511.0
330206MA7FA1668W,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA7FA1668W,宁波梅山保税港区金湛佳伟商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号5幢D302室-14422（集群注册）,邵佳伟,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA7FA1668W,2021-12-27,2021-12-27,2021-12-27,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
33020607921748XK,宁波市北仑区市场监督管理局,有限责任公司（自然人投资或控股）,注销,9133020607921748XK,宁波亚居拉贸易有限公司,北仑新碶九华山路429号203室,魏金来,文具用品批发,3000000.0,人民币,文具、塑料原料及制品、化工原料及产品、橡胶材料及制品、建筑材料、装潢材料、金属材料及制品、针纺织原料及产品、普通机械设备、五金交电的批发、零售。,33020607921748XK,2013-10-22,2013-10-22,2013-10-22,2099-12-31,330206001,北仑区,330206001,315800,北仑区,5141.0,5141.0
